target,run_id,direction,model,year,n,accuracy,auc,hit@60,cov@60
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2018,245,0.726530612244898,0.48099099099099096,0.755868544600939,0.8693877551020408
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2019,247,0.7165991902834008,0.5071065989847716,0.7833333333333333,0.728744939271255
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2020,249,0.9196787148594378,0.4486899563318777,0.9148936170212766,0.9437751004016064
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2021,249,0.8795180722891566,0.7549467275494672,0.8975609756097561,0.8232931726907631
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2022,247,0.9190283400809717,0.6566079295154185,0.9190283400809717,1.0
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2023,246,0.8373983739837398,0.5981796116504854,0.8714285714285714,0.8536585365853658
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2024,245,0.763265306122449,0.7629729729729731,0.8778625954198473,0.5346938775510204
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2025,243,0.7818930041152263,0.5054187192118227,0.8407079646017699,0.46502057613168724
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2026,86,1.0,,1.0,0.7790697674418605
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2018,245,0.710204081632653,0.412972972972973,0.7465437788018433,0.8857142857142857
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2019,247,0.7773279352226721,0.7669035532994923,0.7952380952380952,0.8502024291497976
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2020,249,0.8514056224899599,0.645414847161572,0.8926829268292683,0.8232931726907631
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2021,249,0.7228915662650602,0.7875190258751902,0.8375,0.642570281124498
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2022,247,0.9109311740890689,0.6799559471365638,0.9117647058823529,0.9635627530364372
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2023,246,0.7357723577235772,0.40182038834951456,0.7671957671957672,0.7682926829268293
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2024,245,0.6612244897959184,0.697027027027027,0.7417218543046358,0.6163265306122448
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2025,243,0.5637860082304527,0.4848522167487685,0.5860215053763441,0.7654320987654321
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2026,86,0.7674418604651163,,0.8360655737704918,0.7093023255813954
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2018,245,0.6244897959183674,0.46945945945945944,0.6666666666666666,0.42857142857142855
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2019,247,0.46153846153846156,0.32182741116751273,0.13559322033898305,0.2388663967611336
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2020,249,0.3614457831325301,0.262882096069869,0.47297297297297297,0.2971887550200803
