target,horizon,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite
spread_ktb_5_30,20,et,1548,0.5193798449612403,0.48901808785529716,0.5078979343863913,0.5199004975124378,0.5138291333743086,0.4958039105547531,0.515274949083503,0.31718346253229973,0.6090909090909091,0.0710594315245478,0.5768364618275906
spread_ktb_5_30,20,gbm,1548,0.5193798449612403,0.5083979328165374,0.5258103241296519,0.5447761194029851,0.535125229077581,0.51183848900658,0.5086128739800544,0.712532299741602,0.5181268882175226,0.42764857881136953,0.6973303445186545
spread_ktb_5_30,20,lgbm,1548,0.5193798449612403,0.5219638242894057,0.5389294403892944,0.5509950248756219,0.5448954489544895,0.5251263842079923,0.5228310502283106,0.8488372093023255,0.5166666666666667,0.6976744186046512,0.7581766593700663
spread_ktb_5_30,20,logreg,1548,0.5193798449612403,0.5400516795865633,0.5749185667752443,0.43905472636815923,0.4978843441466855,0.5587485957310223,0.5448851774530271,0.9282945736434108,0.5523520485584219,0.851421188630491,0.8413714319438068
spread_ktb_5_30,20,rf,1548,0.5193798449612403,0.4967700258397933,0.5129265770423992,0.6169154228855721,0.5601355166572558,0.5320674851548708,0.5464071856287425,0.4315245478036176,0.6231884057971014,0.08914728682170543,0.6575226738380282
spread_ktb_5_30,20,xgb,1548,0.5193798449612403,0.5103359173126615,0.5273159144893111,0.5522388059701493,0.5394896719319563,0.5153516690739849,0.5144418423106948,0.8275193798449613,0.5183299389002036,0.6343669250645995,0.7347423343968247
us_10y_xl,10,ensemble,2466,0.5198702351987023,0.4910786699107867,0.5102195306585919,0.5257410296411856,0.5178640030733769,0.4928552040730278,0.5006402048655569,0.6334144363341444,0.4805699481865285,0.31305758313057586,0.6491458648942393
us_10y_xl,10,et,2466,0.5198702351987023,0.5036496350364964,0.5186855670103093,0.6279251170046802,0.5681016231474947,0.5000415050385799,0.5150976909413855,0.22830494728304948,0.4482758620689655,0.03527980535279805,0.5588460615921842
us_10y_xl,10,gbm,2466,0.5198702351987023,0.5194647201946472,0.5392712550607287,0.5195007800312013,0.5292014302741359,0.5021961435889868,0.5003257328990228,0.6224655312246553,0.47299077733860345,0.3077858880778589,0.6585978622736348
us_10y_xl,10,lgbm,2466,0.5198702351987023,0.5101378751013788,0.528816199376947,0.5296411856474259,0.5292283710054559,0.5073490270691908,0.5139806812404677,0.7976480129764801,0.5181631254283756,0.5916463909164639,0.715349783908993
us_10y_xl,10,logreg,2466,0.5198702351987023,0.4691808596918086,0.48944487881157156,0.48829953198127923,0.48887153455681376,0.4738939895433656,0.4679061531651173,0.916058394160584,0.4667644183773216,0.829683698296837,0.6770188666509639
us_10y_xl,10,rf,2466,0.5198702351987023,0.5210867802108679,0.5339609952925353,0.6193447737909517,0.5734922354640665,0.5102023337690265,0.513595166163142,0.2684509326845093,0.5375,0.032441200324412,0.5805465322611063
us_10y_xl,10,xgb,2466,0.5198702351987023,0.5202757502027575,0.5386416861826698,0.5382215288611545,0.538431525555989,0.509928927562508,0.5174234424498416,0.7680454176804542,0.5048,0.5068937550689375,0.7125770820682897
us_10y_xl,20,ensemble,2456,0.5248371335504886,0.4837133550488599,0.5083665338645418,0.49495733126454616,0.5015723270440252,0.46761902672604455,0.47079037800687284,0.7109120521172638,0.4583732057416268,0.4254885993485342,0.6241266977231165
us_10y_xl,20,et,2456,0.5248371335504886,0.49267100977198697,0.5153243050605845,0.560899922420481,0.537147102526003,0.4707055880520893,0.4563758389261745,0.4246742671009772,0.4251207729468599,0.08428338762214983,0.5619335440426408
us_10y_xl,20,gbm,2456,0.5248371335504886,0.48534201954397393,0.510530749789385,0.47013188518231186,0.4894991922455573,0.4797139861845967,0.47909604519774013,0.7206840390879479,0.479295154185022,0.46213355048859933,0.645348131251591
us_10y_xl,20,lgbm,2456,0.5248371335504886,0.5020358306188925,0.5253456221198156,0.5306439100077579,0.5279814743342339,0.4753949276157161,0.4950980392156863,0.8306188925081434,0.4900373599003736,0.6539087947882736,0.6708952846563812
us_10y_xl,20,logreg,2456,0.5248371335504886,0.46416938110749184,0.48812664907651715,0.430566330488751,0.45754328112118714,0.4740324663971659,0.46528998242530756,0.9267100977198697,0.45918367346938777,0.8379478827361564,0.6784300160366604
us_10y_xl,20,rf,2456,0.5248371335504886,0.511400651465798,0.5284708893154191,0.6408068269976727,0.5792426367461431,0.47910704444635016,0.4701348747591522,0.4226384364820847,0.4308300395256917,0.10301302931596092,0.5743042096295012
us_10y_xl,20,xgb,2456,0.5248371335504886,0.48778501628664495,0.51242983159583,0.495733126454616,0.5039432176656151,0.4645424370605406,0.4857142857142857,0.8122964169381107,0.4686221009549795,0.5969055374592834,0.6478248562428142
us_ig_oas_xl,10,ensemble,2466,0.4586374695863747,0.5113544201135442,0.46765734265734266,0.47303271441202477,0.4703296703296703,0.5003354560115505,0.5106628242074928,0.7035685320356854,0.4984984984984985,0.4051094890510949,0.6800991275550353
us_ig_oas_xl,10,et,2466,0.4586374695863747,0.5312246553122466,0.48701973001038423,0.4146772767462423,0.4479465138490926,0.5140649784586243,0.5250227479526842,0.44566098945660987,0.53125,0.11678832116788321,0.6343470111312222
us_ig_oas_xl,10,gbm,2466,0.4586374695863747,0.5166261151662611,0.47224749772520475,0.4588859416445623,0.4654708520179372,0.49635601386860584,0.5119760479041916,0.6772100567721006,0.49064906490649063,0.3686131386861314,0.6684502522537064
us_ig_oas_xl,10,lgbm,2466,0.4586374695863747,0.5296025952960259,0.4871111111111111,0.484526967285588,0.4858156028368794,0.5136026915957176,0.5304172951231775,0.8065693430656934,0.5240606460118655,0.6151662611516626,0.7333313370269755
us_ig_oas_xl,10,logreg,2466,0.4586374695863747,0.4902676399026764,0.45108695652173914,0.5137046861184792,0.4803637866887143,0.4827195448659998,0.4856512141280353,0.9184914841849149,0.4806127333652465,0.8471208434712084,0.6980445648792195
us_ig_oas_xl,10,rf,2466,0.4586374695863747,0.5012165450121655,0.45429362880886426,0.4350132625994695,0.4444444444444444,0.5067101136841548,0.5144927536231884,0.44768856447688565,0.5656934306569343,0.1111111111111111,0.6234219322456308
us_ig_oas_xl,10,xgb,2466,0.4586374695863747,0.5239253852392538,0.4804010938924339,0.46595932802829354,0.4730700179533214,0.4986545332922706,0.5237608584568216,0.7935928629359287,0.5132048536759457,0.5681265206812652,0.7059217257596581
us_ig_oas_xl,20,ensemble,2456,0.42671009771986973,0.495928338762215,0.4091778202676864,0.4083969465648855,0.4087870105062082,0.4720957939365025,0.49208025343189016,0.7711726384364821,0.47966231772831924,0.5305374592833876,0.6512461522218528
us_ig_oas_xl,20,et,2456,0.42671009771986973,0.5370521172638436,0.4506104328523862,0.38740458015267176,0.41662390969728064,0.4854118776023595,0.5151729004940014,0.5769543973941368,0.5057471264367817,0.2479641693811075,0.6296914666291195
us_ig_oas_xl,20,gbm,2456,0.42671009771986973,0.5146579804560261,0.43258426966292135,0.44083969465648853,0.43667296786389415,0.47804394734559336,0.5133547008547008,0.762214983713355,0.49257232212666147,0.5207654723127035,0.66509615964165
us_ig_oas_xl,20,lgbm,2456,0.42671009771986973,0.5215798045602605,0.439581351094196,0.44083969465648853,0.44020962363030014,0.47911335444136016,0.5074142724745134,0.8786644951140065,0.5042780748663102,0.761400651465798,0.6927245609207124
us_ig_oas_xl,20,logreg,2456,0.42671009771986973,0.46254071661237783,0.39067524115755625,0.4637404580152672,0.42408376963350786,0.469944781184941,0.45621716287215414,0.9299674267100977,0.4505442498816848,0.8603420195439739,0.6693268911176399
us_ig_oas_xl,20,rf,2456,0.42671009771986973,0.4751628664495114,0.3917340521114106,0.41603053435114506,0.4035168903285516,0.46588266069569745,0.49122807017543857,0.6034201954397395,0.490787269681742,0.24307817589576547,0.6039781724980052
us_ig_oas_xl,20,xgb,2456,0.42671009771986973,0.5191368078175895,0.4357487922705314,0.4303435114503817,0.4330292846855497,0.48593777107911174,0.5124282982791587,0.8517915309446255,0.5162037037037037,0.7035830618892508,0.6980409024296035
